Query,Clicks,Impressions,CTR,Position
edge computing 1,61,6885,0.0089,9.34
iot in agriculture 1,80,9155,0.0087,6.45
remote monitoring system 1,73,3612,0.0202,7.22
latency in networks 1,109,6920,0.0158,8.7
wireless sensor networks 1,431,6434,0.067,7.17
edge vs cloud 1,30,3761,0.008,1.87
low power devices 1,284,2296,0.1237,7.64
rural broadband 1,385,2208,0.1744,4.16
smart farming 1,267,6113,0.0437,7.48
offline learning systems 1,343,5412,0.0634,9.0
remote IoT deployment 1,354,2337,0.1515,4.79
digital india edge 1,125,6153,0.0203,1.96
solar powered IoT 1,213,8036,0.0265,8.27
cloud latency issues 1,231,9465,0.0244,7.78
google cloud edge 1,369,7322,0.0504,4.12
agritech devices 1,10,5955,0.0017,8.84
rural internet solutions 1,220,8933,0.0246,2.1
AI on edge 1,198,1135,0.1744,9.85
bandwidth optimization 1,68,566,0.1201,7.32
fog computing 1,65,9553,0.0068,5.02
edge computing 2,292,930,0.314,2.7
iot in agriculture 2,68,5263,0.0129,7.64
remote monitoring system 2,384,443,0.8668,2.23
latency in networks 2,254,3997,0.0635,9.94
wireless sensor networks 2,216,9398,0.023,1.05
edge vs cloud 2,401,8346,0.048,8.62
low power devices 2,45,7586,0.0059,5.06
rural broadband 2,76,5108,0.0149,5.35
smart farming 2,398,1144,0.3479,2.63
offline learning systems 2,111,7913,0.014,3.32
remote IoT deployment 2,482,3963,0.1216,9.63
digital india edge 2,294,3124,0.0941,1.85
solar powered IoT 2,376,8385,0.0448,4.69
cloud latency issues 2,96,7193,0.0133,2.27
google cloud edge 2,219,5225,0.0419,3.71
agritech devices 2,257,1899,0.1353,2.88
rural internet solutions 2,333,8514,0.0391,3.02
AI on edge 2,259,7027,0.0369,9.82
bandwidth optimization 2,263,9569,0.0275,5.18
fog computing 2,368,7343,0.0501,7.51
edge computing 3,142,6829,0.0208,1.92
iot in agriculture 3,400,1716,0.2331,2.95
remote monitoring system 3,20,8894,0.0022,4.55
latency in networks 3,315,7157,0.044,3.0
wireless sensor networks 3,416,6815,0.061,8.47
edge vs cloud 3,70,6206,0.0113,7.58
low power devices 3,74,4021,0.0184,9.25
rural broadband 3,166,7738,0.0215,7.15
smart farming 3,482,8125,0.0593,2.42
offline learning systems 3,69,9738,0.0071,8.6
remote IoT deployment 3,415,9572,0.0434,1.04
digital india edge 3,443,9237,0.048,1.44
solar powered IoT 3,281,1858,0.1512,9.62
cloud latency issues 3,139,4521,0.0307,4.83
google cloud edge 3,378,4730,0.0799,9.39
agritech devices 3,436,3605,0.1209,3.4
rural internet solutions 3,277,7628,0.0363,6.68
AI on edge 3,120,4434,0.0271,2.97
bandwidth optimization 3,351,5621,0.0624,1.28
fog computing 3,106,5212,0.0203,1.59
edge computing 4,478,4639,0.103,3.89
iot in agriculture 4,442,5890,0.075,9.49
remote monitoring system 4,88,2467,0.0357,7.66
latency in networks 4,141,4997,0.0282,7.53
wireless sensor networks 4,354,1827,0.1938,7.74
edge vs cloud 4,431,1976,0.2181,6.78
low power devices 4,161,4659,0.0346,5.18
rural broadband 4,185,6056,0.0305,4.02
smart farming 4,229,3604,0.0635,4.16
offline learning systems 4,82,7042,0.0116,7.24
remote IoT deployment 4,64,5789,0.0111,2.74
digital india edge 4,50,6708,0.0075,6.92
solar powered IoT 4,29,3787,0.0077,2.16
cloud latency issues 4,455,5672,0.0802,3.53
google cloud edge 4,229,7636,0.03,4.05
agritech devices 4,373,8491,0.0439,4.5
rural internet solutions 4,318,4786,0.0664,4.66
AI on edge 4,287,8384,0.0342,6.64
bandwidth optimization 4,205,1764,0.1162,2.2
fog computing 4,29,1556,0.0186,5.25
edge computing 5,469,8082,0.058,2.8
iot in agriculture 5,223,4955,0.045,6.06
remote monitoring system 5,223,7240,0.0308,5.86
latency in networks 5,226,6967,0.0324,7.34
wireless sensor networks 5,317,1731,0.1831,5.35
edge vs cloud 5,257,2962,0.0868,2.33
low power devices 5,195,4596,0.0424,3.9
rural broadband 5,462,6830,0.0676,6.29
smart farming 5,10,4752,0.0021,6.34
offline learning systems 5,458,8200,0.0559,4.07
remote IoT deployment 5,170,7631,0.0223,2.29
digital india edge 5,289,9421,0.0307,4.88
solar powered IoT 5,287,7594,0.0378,2.82
cloud latency issues 5,423,4823,0.0877,9.72
google cloud edge 5,317,4977,0.0637,6.1
agritech devices 5,453,8885,0.051,7.59
rural internet solutions 5,123,1635,0.0752,3.34
AI on edge 5,116,8336,0.0139,1.12
bandwidth optimization 5,124,1432,0.0866,7.55
fog computing 5,367,5542,0.0662,6.78
